plantID,pop,year,popYear,sp,nFlrs,nFrts,latN,lonW,corLcat,majorVisPeriod,noVisitation
CLA01,CLA,2019,CLA-2019,C,12,0,33.75562,-98.3829,short,diurnal,0
CLA02,CLA,2019,CLA-2019,C,15,0,33.75562,-98.3829,short,diurnal,0
CLA03,CLA,2019,CLA-2019,C,17,0,33.75562,-98.3829,short,diurnal,0
CLA04,CLA,2019,CLA-2019,C,15,3,33.75562,-98.3829,short,diurnal,0
CLA05,CLA,2019,CLA-2019,C,36,6,33.75562,-98.3829,short,diurnal,0
CLA06,CLA,2019,CLA-2019,C,15,5,33.75562,-98.3829,short,diurnal,0
CLA07,CLA,2019,CLA-2019,C,14,3,33.75562,-98.3829,short,diurnal,0
CLA08,CLA,2019,CLA-2019,C,15,2,33.75562,-98.3829,short,diurnal,0
CLA09,CLA,2019,CLA-2019,C,56,30,33.75562,-98.3829,short,diurnal,0
CLA10,CLA,2019,CLA-2019,C,39,8,33.75562,-98.3829,short,diurnal,0
CLA11,CLA,2019,CLA-2019,C,10,0,33.75562,-98.3829,short,diurnal,0
CLA12,CLA,2019,CLA-2019,C,8,1,33.75562,-98.3829,short,diurnal,0
CLA13,CLA,2019,CLA-2019,C,21,1,33.75562,-98.3829,short,diurnal,0
CLA14,CLA,2019,CLA-2019,C,21,4,33.75562,-98.3829,short,diurnal,0
CLA15,CLA,2019,CLA-2019,C,13,4,33.75562,-98.3829,short,diurnal,0
CLA16,CLA,2019,CLA-2019,C,9,9,33.75562,-98.3829,short,diurnal,0
CLA17,CLA,2019,CLA-2019,C,7,7,33.75562,-98.3829,short,diurnal,0
CLA18,CLA,2019,CLA-2019,C,8,0,33.75562,-98.3829,short,diurnal,0
CLA19,CLA,2019,CLA-2019,C,7,3,33.75562,-98.3829,short,diurnal,0
CLA20,CLA,2019,CLA-2019,C,20,3,33.75562,-98.3829,short,diurnal,0
CLA21,CLA,2019,CLA-2019,C,9,0,33.75562,-98.3829,short,diurnal,0
CLA22,CLA,2019,CLA-2019,C,7,0,33.75562,-98.3829,short,diurnal,0
CLA23,CLA,2019,CLA-2019,C,8,0,33.75562,-98.3829,short,diurnal,0
CLA24,CLA,2019,CLA-2019,C,10,0,33.75562,-98.3829,short,diurnal,0
CLA25,CLA,2019,CLA-2019,C,10,0,33.75562,-98.3829,short,diurnal,0
CLA26,CLA,2019,CLA-2019,C,14,1,33.75562,-98.3829,short,diurnal,0
CLA27,CLA,2019,CLA-2019,C,13,2,33.75562,-98.3829,short,diurnal,0
CLA28,CLA,2019,CLA-2019,C,13,3,33.75562,-98.3829,short,diurnal,0
CLA29,CLA,2019,CLA-2019,C,15,3,33.75562,-98.3829,short,diurnal,0
CLA30,CLA,2019,CLA-2019,C,18,5,33.75562,-98.3829,short,diurnal,0
CLA31,CLA,2019,CLA-2019,C,20,5,33.75562,-98.3829,short,diurnal,0
CMSC01,CMSC,2019,CMSC-2019,C,16,5,34.73168,-98.56844,short,nocturnal,0
CMSC02,CMSC,2019,CMSC-2019,C,12,9,34.73168,-98.56844,short,nocturnal,0
CMSC03,CMSC,2019,CMSC-2019,C,17,14,34.73168,-98.56844,short,nocturnal,0
CMSC04,CMSC,2019,CMSC-2019,C,6,0,34.73168,-98.56844,short,nocturnal,0
CMSC05,CMSC,2019,CMSC-2019,C,14,3,34.73168,-98.56844,short,nocturnal,0
CMSC06,CMSC,2019,CMSC-2019,C,16,4,34.73168,-98.56844,short,nocturnal,0
CMSC07,CMSC,2019,CMSC-2019,C,12,11,34.73168,-98.56844,short,nocturnal,0
CMSC08,CMSC,2019,CMSC-2019,C,17,14,34.73168,-98.56844,short,nocturnal,0
CMSC09,CMSC,2019,CMSC-2019,C,11,5,34.73168,-98.56844,short,nocturnal,0
CMSC10,CMSC,2019,CMSC-2019,C,4,1,34.73168,-98.56844,short,nocturnal,0
CMSC11,CMSC,2019,CMSC-2019,C,10,8,34.73168,-98.56844,short,nocturnal,0
CMSC12,CMSC,2019,CMSC-2019,C,12,3,34.73168,-98.56844,short,nocturnal,0
CMSC13,CMSC,2019,CMSC-2019,C,19,14,34.73168,-98.56844,short,nocturnal,0
CMSC14,CMSC,2019,CMSC-2019,C,15,7,34.73168,-98.56844,short,nocturnal,0
CMSC15,CMSC,2019,CMSC-2019,C,11,8,34.73168,-98.56844,short,nocturnal,0
CMSC16,CMSC,2019,CMSC-2019,C,7,5,34.73168,-98.56844,short,nocturnal,0
CMSC17,CMSC,2019,CMSC-2019,C,13,4,34.73168,-98.56844,short,nocturnal,0
CMSC18,CMSC,2019,CMSC-2019,C,13,7,34.73168,-98.56844,short,nocturnal,0
CMSC19,CMSC,2019,CMSC-2019,C,12,1,34.73168,-98.56844,short,nocturnal,0
CMSC20,CMSC,2019,CMSC-2019,C,13,9,34.73168,-98.56844,short,nocturnal,0
CMSC21,CMSC,2019,CMSC-2019,C,19,15,34.73168,-98.56844,short,nocturnal,0
CMSC22,CMSC,2019,CMSC-2019,C,7,2,34.73168,-98.56844,short,nocturnal,0
CMSC23,CMSC,2019,CMSC-2019,C,14,5,34.73168,-98.56844,short,nocturnal,0
CMSC24,CMSC,2019,CMSC-2019,C,11,1,34.73168,-98.56844,short,nocturnal,0
CMSC25,CMSC,2019,CMSC-2019,C,14,7,34.73168,-98.56844,short,nocturnal,0
