popYr,year,pop,dataset,ct_other,ct_bumble_lg_bee,ct_butterfly_all,ct_hawkmoth,ct_small_med_bee,ct_hummingbird,pr_other,pr_bumble_lg_bee,pr_butterfly_all,pr_hawkmoth,pr_small_med_bee,pr_hummingbird,rt_other,rt_bumble_lg_bee,rt_butterfly_all,rt_hawkmoth,rt_small_med_bee,rt_hummingbird,sp,majorVis50p,majorVisPeriod,corLcat,corL,latN,lonW,visTotal,avgFlrs,avgFrts,avgFrtSet,ct_InvSimpD
CHCL-2019,"""2019""",CHCL,focal_narrow,0,8,1,5,0,0,0,0.571428571,0.071428571,0.357142857,0,0,0,0.057142857,0.007142857,0.035714286,0,0,C,bumble_lg_bee,diurnal,short,30.88828333,31.82479,-99.55632,14,NA,NA,NA,2.177777778
CLA-2018,"""2018""",CLA,focal_narrow,0,12,0,1,3,0,0,0.75,0,0.0625,0.1875,0,0,0.032432432,0,0.002702703,0.008108108,0,C,bumble_lg_bee,diurnal,short,28.06486667,33.75562,-98.3829,16,NA,NA,NA,1.662337662
CLA-2019,"""2019""",CLA,focal_narrow,0,0,1,0,13,0,0,0,0.071428571,0,0.928571429,0,0,0,0.003558719,0,0.046263345,0,C,small_med_bee,diurnal,short,28.06486667,33.75562,-98.3829,14,15.96774194,3.483870968,0.200698137,1.152941176
CMSC-2018,"""2018""",CMSC,focal_narrow,0,16,0,6,15,0,0,0.432432432,0,0.162162162,0.405405405,0,0,0.103225806,0,0.038709677,0.096774194,0,C,generalized,diurnal,short,34.71851667,34.73168,-98.56844,37,NA,NA,NA,2.647969052
CMSC-2019,"""2019""",CMSC,focal_narrow,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0.174603175,0,0,C,hawkmoth,nocturnal,short,34.71851667,34.73168,-98.56844,11,12.16666667,6.133333333,0.482574072,1
CQL-2018,"""2018""",CQL,focal_narrow,0,2,0,0,43,0,0,0.044444444,0,0,0.955555556,0,0,0.009049774,0,0,0.194570136,0,C,small_med_bee,diurnal,short,27.15438333,33.20647,-98.15727,45,NA,NA,NA,1.09282245
CQL-2019,"""2019""",CQL,focal_narrow,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.00729927,0,C,small_med_bee,diurnal,short,27.15438333,33.20647,-98.15727,1,23.13333333,18.8,0.808517793,1
LMN-2019,"""2019""",LMN,focal_narrow,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0.117647059,L,hummingbird,diurnal,short,37.66555,31.33261,-97.46821,16,24.09677419,16.93548387,0.714566318,1
LRR-2018,"""2018""",LRR,focal_narrow,0,0,0,0,2,28,0,0,0,0,0.066666667,0.933333333,0,0,0,0,0.018018018,0.252252252,L,hummingbird,diurnal,short,34.02525862,30.61922,-98.07169,30,NA,NA,NA,1.14213198
LRR-2019,"""2019""",LRR,focal_narrow,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0.072916667,L,hummingbird,diurnal,short,34.02525862,30.61922,-98.07169,7,22.63333333,15.7,0.74073475,1
